start,end,pitch,syllable
2.1419,2.6560,69,ei_n
2.6560,3.2151,69,j_eo_l_z
3.2151,3.7438,69,w_ii
3.7438,4.1897,72,h_ae_v
4.2855,5.0704,72,h_er_d
5.0704,5.4054,70,a_n
5.4054,5.9414,69,h_ai
6.3468,6.9442,69,s_w_ii
6.9442,7.4780,67,t_l_ii
7.4780,8.0236,69,s_i_ng
8.0236,8.6486,72,i_ng
8.6486,9.4133,69,ou_r
9.4133,9.5129,67,dh_eo
9.6475,10.3350,65,p_l_ei_n_z
10.7511,11.3513,69,eo_n_d
11.3513,11.8874,69,dh_eo
11.8874,12.3727,69,m_au_n
12.3727,12.9797,72,t_eo_n_z
12.9797,13.7179,72,i_n
13.7179,13.8862,70,r_i
14.0073,14.5535,69,p_l_ai
15.1036,15.6087,69,e
15.6087,16.1790,67,k_oi_ng
16.1790,16.5163,69,b_ae_k
16.7021,17.2314,72,dh_e_r
17.2314,18.0777,69,j_oi
18.0777,18.2556,67,eo_s
18.3069,18.9865,65,s_t_r_ei_n_z
19.4290,20.5405,72,g_l_oo
20.5405,20.8170,74,oo
20.8170,21.0844,72,oo
21.0844,21.3513,70,oo
21.3513,21.6216,69,oo
21.6216,22.6593,70,oo
22.6593,22.9228,72,oo
22.9228,23.1903,70,oo
23.1903,23.4842,69,oo
23.4842,23.7657,67,oo
23.7657,24.8406,69,oo
24.8406,25.1351,70,oo
25.1351,25.4054,69,oo
25.4054,25.6756,67,oo
25.6756,25.9572,65,oo
25.9572,26.5839,67,oo
26.7168,27.0270,60,r_ii
27.0270,27.6334,60,a
28.1188,28.6486,65,i_n
28.6486,29.1745,67,e_k
29.1745,29.7083,69,s_e_l
29.7083,30.2376,70,s_eo_s
30.2376,31.0816,69,d_ei
31.0816,31.3018,67,i
31.3018,31.9251,67,ou
32.4054,33.5490,72,g_l_oo
33.5490,33.7933,74,oo
33.7933,34.0647,72,oo
34.0647,34.3243,70,oo
34.3243,34.5946,69,oo
34.5946,35.6756,70,oo
35.6756,35.9290,72,oo
35.9290,36.2162,70,oo
36.2162,36.4864,69,oo
36.4864,36.7387,67,oo
36.7387,37.8519,69,oo
37.8519,38.1081,70,oo
38.1081,38.3783,69,oo
38.3783,38.6486,67,oo
38.6486,38.9408,65,oo
38.9408,39.5535,67,oo
39.6278,40.0101,60,r_ii
40.0101,40.6390,60,a
41.0810,41.6126,65,i_n
41.6126,42.1154,67,e_k
42.1154,42.6678,69,s_e_l
42.6678,43.2342,70,s_eo_s
43.2342,44.2432,69,d_e
44.2432,45.1193,67,ei
45.1193,45.4054,65,i
45.4054,46.9386,65,ou
47.2989,47.8665,69,sh_e
47.9757,48.5715,69,p_er_d_z
48.5715,49.0439,69,w_ai
49.1289,49.6520,72,dh_i_s
49.6520,50.5073,72,j_uu
50.5073,50.7612,70,b_eo
50.7612,51.3755,69,l_ii
51.7618,52.3254,69,w_ai
52.3254,52.8778,67,y_oo_r
52.8778,53.4352,69,j_oi
53.4352,53.9200,72,eo_s
53.9200,54.7860,69,s_t_r_ei_n_z
54.7860,55.0765,67,p_r_eo
55.0765,55.6841,65,l_oo_ng
56.1582,56.5776,69,w_ao_t
56.6779,57.0985,69,dh_eo
57.1790,57.6886,69,g_l_ae_d
57.6886,58.2927,72,s_eo_m
58.2927,59.0270,72,t_ai
59.0270,59.3186,70,d_i_ng_z
59.4273,59.9977,69,b_ii
60.5016,61.0467,69,w_i_ch
61.0467,61.4538,67,i_n
