start,end,pitch,syllable
2.9883,3.3102,67,dh_i_s
3.3445,3.6648,64,ou_l_d
3.7656,4.2875,67,m_ae_n
4.4898,4.6437,67,h_ii
4.7578,5.0992,64,p_l_ei_d
5.2195,5.6219,67,w_ao_n
5.9273,6.1398,69,h_ii
6.2563,6.5836,67,p_l_ei_d
6.6805,6.9516,65,n_i_k
7.0531,7.3398,64,n_ae_k
7.4672,7.8664,62,a_n
7.8664,8.0891,64,m_ai
8.2258,8.6172,65,th_ao_m
8.6219,8.7273,64,w_i_dh
8.7797,8.9969,65,eo
8.9969,9.1727,67,n_i_k
9.3156,9.5578,60,n_ae_k
9.6766,9.9234,60,p_ae
9.9234,10.0672,60,d_w_ii
10.0672,10.1961,60,h_ae_k
10.4961,10.6063,60,g_i_v
10.6594,10.7578,62,dh_eo
10.8266,10.9781,64,d_oo_g
11.0289,11.1219,65,eo
11.2219,11.7211,67,b_ou_n
11.9984,12.2945,67,dh_i_s
12.3883,12.7492,62,ou_l_d
12.7492,12.9891,62,m_ae_n
13.0742,13.4719,65,k_ei_m
13.4719,13.8648,64,r_ou
13.8648,14.2125,62,l_i_ng
14.2125,14.5203,60,h_ou_m
14.9570,15.3211,67,dh_i_s
15.3633,15.6555,64,ou_l_d
15.6906,16.2500,67,m_ae_n
16.4773,16.6852,67,h_ii
16.7828,17.0578,64,p_l_ei_d
17.2086,17.6641,67,t_uu
17.9797,18.1656,69,h_ii
18.2852,18.5547,67,p_l_ei_d
18.6555,19.0891,65,n_i_k
19.0891,19.3461,64,n_ae_k
19.4578,19.8586,62,a_n
19.8586,20.1633,64,m_ai
20.1633,20.5672,65,sh_uu
20.5672,20.7469,64,w_i_dh
20.7469,20.9734,65,eo
20.9734,21.1578,67,n_i_k
21.2664,21.5359,60,n_ae_k
21.6844,21.8945,60,p_ae
21.8945,22.0695,60,d_w_ii
22.0695,22.1945,60,h_ae_k
22.4641,22.6172,60,g_i_v
22.6422,22.7633,62,dh_eo
22.8172,22.9695,64,d_oo_g
23.0039,23.1367,65,eo
23.2273,23.7391,67,b_ou_n
23.9781,24.2906,67,dh_i_s
24.3508,24.7266,62,ou_l_d
24.7266,25.0250,62,m_ae_n
25.0594,25.4781,65,k_ei_m
25.4781,25.8703,64,r_ou
25.8703,26.2125,62,l_i_ng
26.2125,26.9719,60,h_ou_m
29.9773,30.3109,67,dh_i_s
30.3109,30.6516,64,ou_l_d
30.7078,31.3016,67,m_ae_n
31.4766,31.7031,67,h_ii
31.7742,32.1469,64,p_l_ei_d
32.1469,32.5961,67,th_r_ii
32.9406,33.1672,69,h_ii
33.2523,33.5813,67,p_l_ei_d
33.6719,33.9297,65,n_i_k
34.0586,34.3305,64,n_ae_k
34.4391,34.8266,62,a_n
34.8328,35.2133,64,m_ai
35.2133,35.5820,65,n_ii
35.6055,35.7867,64,w_i_dh
35.7867,35.9773,65,eo
35.9773,36.1469,67,n_i_k
36.3234,36.5633,60,n_ae_k
36.6867,36.9117,60,p_ae
36.9117,37.0797,60,d_w_ii
37.0797,37.2250,60,h_ae_k
37.4695,37.6141,60,g_i_v
37.6508,37.7492,62,dh_eo
37.8125,37.9539,64,d_oo_g
38.0008,38.1344,65,eo
38.1992,38.6758,67,b_ou_n
38.9602,39.2906,67,dh_i_s
39.3508,39.7289,62,ou_l_d
39.7289,39.9781,62,m_ae_n
40.0547,40.4563,65,k_ei_m
40.4563,40.8703,64,r_ou
40.8703,41.1367,62,l_i_ng
41.2234,41.6055,60,h_ou_m
41.9703,42.3406,67,dh_i_s
42.3734,42.7344,64,ou_l_d
42.7344,43.1422,67,m_ae_n
43.4797,43.6836,67,h_ii
43.7797,44.0680,64,p_l_ei_d
44.1836,44.7141,67,f_oo_r
44.9805,45.1766,69,h_ii
45.2703,45.6023,67,p_l_ei_d
45.6406,46.0602,65,n_i_k
46.0602,46.3203,64,n_ae_k
46.4047,46.8305,62,a_n
46.8305,47.1000,64,m_ai
47.2141,47.5953,65,d_oo_r
47.5953,47.7156,64,w_i_dh
47.7633,47.9758,65,eo
47.9758,48.1750,67,n_i_k
48.3320,48.5484,60,n_ae_k
48.6836,48.9117,60,p_ae
48.9117,49.0586,60,d_w_ii
49.0586,49.1766,60,h_ae_k
49.4477,49.6438,60,g_i_v
49.6438,49.7484,62,dh_eo
49.8469,49.9961,64,d_oo_g
50.0344,50.1164,65,eo
50.2352,50.6922,67,b_ou_n
50.9758,51.3234,67,dh_i_s
51.3234,51.7242,62,ou_l_d
51.7242,52.0125,62,m_ae_n
52.0789,52.4984,65,k_ei_m
52.4984,52.8625,64,r_ou
52.8625,53.1766,62,l_i_ng
53.1766,53.8133,60,h_ou_m
56.9727,57.3164,67,dh_i_s
57.3641,57.6508,64,ou_l_d
57.6961,58.2516,67,m_ae_n
58.4680,58.6523,67,h_ii
58.7625,59.0180,64,p_l_ei_d
59.1883,59.6969,67,f_ai_v
59.9586,60.2391,69,d_ou_n_t
60.2984,60.5695,67,p_l_ei
60.6742,60.9016,65,k_i_k
61.0438,61.3180,64,n_ae_k
61.4406,61.7922,62,a_n
61.7922,62.0164,64,m_ai
62.1898,62.6141,65,h_ai_v
62.6141,62.7195,64,w_i_dh
62.7672,62.8969,65,eo
62.9680,63.1562,67,n_i_k
63.3063,63.5508,60,n_ae_k
63.6859,63.9078,60,p_ae
63.9078,64.0617,60,d_w_ii
64.0617,64.3352,60,h_ae_k
64.4555,64.6500,60,g_i_v
64.6500,64.7703,62,dh_eo
64.8203,64.9961,64,d_oo_g
64.9961,65.1148,65,eo
65.2016,65.6641,67,b_ou_n
65.9742,66.2445,67,dh_i_s
66.3547,66.7281,62,ou_l_d
66.7281,66.9969,62,m_ae_n
67.0656,67.4711,65,k_ei_m
67.4711,67.8578,64,r_ou
67.8578,68.1039,62,l_i_ng
68.2188,68.5750,60,h_ou_m
68.9594,69.2570,67,dh_i_s
69.3609,69.7125,64,ou_l_d
69.7125,70.1344,67,m_ae_n
70.4742,70.6852,67,h_ii
70.7625,71.1148,64,p_l_ei_d
71.1148,71.5766,67,s_i_k_s
71.9688,72.1547,69,h_ii
72.2500,72.6305,67,p_l_ei_d
72.6305,73.0648,65,n_i_k
73.0648,73.3023,64,n_ae_k
73.3945,73.8258,62,a_n
73.8258,74.1141,64,m_ai
74.2039,74.5563,65,s_t_i_k_s
74.5938,74.7359,65,w_i_dh
74.7586,74.9953,65,eo
74.9953,75.1922,67,n_i_k
75.3312,75.5602,60,n_ae_k
75.6805,75.9297,60,p_ae
75.9297,76.0805,60,d_w_ii
76.0805,76.2430,60,h_ae_k
76.4961,76.6336,60,g_i_v
76.6414,76.7391,62,dh_eo
76.8336,76.9898,64,d_oo_g
77.0258,77.1641,65,eo
77.2086,77.7328,67,b_ou_n
77.9672,78.2602,67,dh_i_s
78.3555,78.7258,62,ou_l_d
78.7258,78.9711,62,m_ae_n
79.0734,79.4766,65,k_ei_m
79.4766,79.8586,64,r_ou
79.8586,80.1820,62,l_i_ng
80.1820,80.8422,60,h_ou_m
83.9430,84.2688,67,dh_i_s
84.3320,84.6039,64,ou_l_d
84.6734,85.2305,67,m_ae_n
85.4664,85.6398,67,h_ii
85.7508,86.1016,64,p_l_ei_d
86.1016,86.3516,67,s_e
86.3516,86.6562,67,v_eo_n
86.9352,87.1562,69,h_ii
87.2398,87.6875,67,p_l_ei_d
87.6875,88.0906,65,n_i_k
88.0906,88.3023,64,n_ae_k
88.4070,88.6953,62,ao_p
88.8117,89.1508,64,i_n
89.1508,89.3617,65,h_e
89.3617,89.5500,65,v_eo_n
89.5500,89.7516,64,w_i_dh
89.7516,89.9734,65,eo
89.9734,90.1672,67,n_i_k
90.2648,90.5383,60,n_ae_k
90.6781,90.8984,60,p_ae
90.8984,91.0781,60,d_w_ii
91.0781,91.3164,60,h_ae_k
91.4203,91.6102,60,g_i_v
91.6523,91.7234,62,dh_eo
91.7953,91.9781,64,d_oo_g
92.0070,92.1539,65,eo
92.1930,92.6617,67,b_ou_n
92.9484,93.2398,67,dh_i_s
93.3336,93.7086,62,ou_l_d
93.7086,93.9570,62,m_ae_n
94.0203,94.4539,65,k_ei_m
94.4539,94.8359,64,r_ou
94.8359,95.2086,62,l_i_ng
95.2086,95.5367,60,h_ou_m
95.9242,96.2828,67,dh_i_s
96.3266,96.7000,64,ou_l_d
96.7000,97.2500,67,m_ae_n
97.4602,97.6680,67,h_ii
97.7586,98.1336,64,p_l_ei_d
98.2594,98.6742,67,ei_t
98.9734,99.1609,69,h_ii
99.2633,99.6891,67,p_l_ei_d
99.6891,99.9062,65,n_i_k
100.0570,100.3016,64,n_ae_k
100.4406,100.8180,62,a_n
100.8180,101.0672,64,m_ai
101.1656,101.5234,65,g_ei_t
101.5844,101.7313,64,w_i_dh
101.7750,101.9695,65,eo
101.9695,102.1578,67,n_i_k
102.3094,102.5555,60,n_ae_k
102.6695,102.9211,60,p_ae
102.9211,103.0508,60,d_w_ii
103.0508,103.3188,60,h_ae_k
103.4375,103.6141,60,g_i_v
103.6547,103.7586,62,dh_eo
103.8125,103.9633,64,d_oo_g
103.9914,104.1281,65,eo
104.2102,104.6648,67,b_ou_n
104.9727,105.2578,67,dh_i_s
105.3477,105.7328,62,ou_l_d
105.7328,105.9914,62,m_ae_n
106.0461,106.4484,65,k_ei_m
106.4484,106.8555,64,r_ou
106.8555,107.1859,62,l_i_ng
107.1859,107.8117,60,h_ou_m
