start,end,pitch,syllable
3.1169,3.8961,61,o
3.8961,4.4156,61,g_eo
4.4156,4.6753,61,r_u
4.6753,5.4545,64,k_a_n
5.9740,6.2338,64,b_a_m
6.2338,6.7532,66,b_y_eo_l
6.7532,7.0130,66,d_eu_l
7.0130,7.5325,62,b_a_n
7.5325,7.7922,66,jj_a
7.7922,9.1558,69,g_i_l
9.3506,9.6753,64,tt_ae
9.8701,10.1299,64,g_eo
10.1299,10.6493,61,r_u
10.6493,10.9091,59,k_a_n
10.9091,11.6883,57,j_u
11.6883,12.2078,61,t_a_n
12.2078,12.4675,62,ss_ae_ng
12.4675,12.9221,64,h_a_n
13.2467,13.7662,62,b_a
13.7662,14.0260,59,m_i_l
14.0260,15.4545,57,s_e
17.1428,17.9221,61,o
17.9221,18.3117,61,r_ae_t
18.4415,18.7013,61,tt_o_ng
18.7013,19.4805,64,a_n
19.9350,20.2597,64,j_oe
20.2597,20.7792,66,a
20.7792,21.0389,66,g_e
21.0389,21.5584,62,eo_ng
21.5584,21.8182,66,m_ae
21.8182,23.3766,69,y_eo
23.3766,23.6363,64,s_eo
23.8961,24.1558,64,h_e
24.1558,24.6753,63,m_ae
24.6753,24.9350,61,d_eo_n
24.9350,25.5844,68,j_oe
25.7143,26.2337,64,i
26.2337,26.4935,66,n_eu_l
26.4935,27.0130,68,n_o
27.2727,27.7922,68,eu
27.7922,28.0519,68,s_i
28.0519,28.8311,61,r_eo
29.3506,29.6104,64,u
29.6104,30.3896,64,r_i
30.3896,31.0389,66,r_eu_l
31.1688,31.9480,59,w_i
31.9480,32.4026,64,h_ae
32.7272,33.0519,66,s_o_k
33.2467,33.5065,64,jj_oe
33.5065,34.0259,69,h_a
34.0259,34.2857,61,s_i
34.2857,34.8701,66,r_y_eo
35.0649,35.3246,64,n_eu_n
35.5844,35.8441,64,y_eo_ng
35.8441,36.6233,64,g_w_a_ng
36.6233,37.2727,66,ui
37.4026,37.9220,59,a
38.1818,38.5065,64,ch_i_m
38.9610,39.4805,66,d_o_ng
39.4805,39.7402,64,i
39.7402,40.1298,69,t_eo
40.2597,40.5194,61,o_n
40.5194,41.5584,64,d_a
42.0779,44.4155,69,g_y_eo_ng
44.4155,44.9350,68,b_ae
44.9350,45.1948,66,h_a
45.1948,47.4675,68,r_a
47.9870,48.3116,68,ch_eo_n
48.3116,50.1298,71,s_a
50.3246,50.6493,66,ui
50.6493,50.9740,66,g_i
51.1688,51.4285,66,pp_eu_n
51.4285,52.9870,69,s_o
52.9870,53.7012,69,r_i
54.2857,54.5454,69,o
54.5454,56.1038,73,g_eo
56.1038,56.8831,71,r_u
57.3376,57.6623,64,k_a_n
57.6623,59.8051,69,b_a_m
59.9999,60.5194,68,j_u
60.5194,60.7792,66,n_i_m
60.7792,62.3376,64,t_a_n
62.8571,63.1168,64,ss_ae_ng
63.1168,63.6363,66,h_a
63.6363,63.8960,64,s_i_n
63.8960,65.6493,64,b_a_m
66.2337,66.8830,69,g_eu
67.0129,68.8311,71,b_a_m
69.3506,70.1298,64,j_u
70.1298,72.4675,73,y_e
72.4675,72.9869,71,s_u
73.2467,74.2856,69,n_a
74.8051,75.5843,68,s_i_n
75.5843,76.1038,69,b_a
76.1038,76.3636,71,m_i_l
76.3636,78.8311,69,s_e
