start,end,pitch,syllable
2.2430,2.8037,68,g_i
2.8037,3.2243,67,pp_eu
3.2243,3.3645,65,d_a
3.3645,4.0654,63,g_u
4.2056,4.4860,61,j_u
4.4860,5.0467,60,o
5.0467,5.6075,58,s_y_eo_n
5.6075,6.1682,56,n_e
6.4486,6.7290,63,m_a_n
6.7290,7.2897,65,b_ae_k
7.5701,7.8505,65,ss_eo_ng
7.8505,8.6916,67,m_a
8.6916,8.9720,67,j_a
8.9720,10.5140,68,r_a
10.9346,11.2149,68,o_n
11.2149,11.4953,68,g_y_o
11.4953,11.7757,67,o
11.7757,12.0561,65,h_oe
12.0561,12.3364,63,e
12.3364,12.7570,63,y_eo
12.7570,12.8972,61,eo
12.8972,13.1776,60,eo
13.1776,13.4579,68,d_a
13.4579,13.7383,68,i
13.7383,14.0187,67,i
14.0187,14.2990,65,r_eo
14.2990,14.5794,63,eo
14.5794,15.0000,63,n_a
15.0000,15.1402,61,a
15.1402,15.4205,60,a
15.4205,15.7009,60,d_a
15.7009,15.9813,60,ch_a_n
15.9813,16.2617,60,n_y_a_ng
16.2617,16.5420,60,h_a
16.5420,16.8224,61,y_eo
16.8224,17.3832,63,r_a
17.6635,17.9439,60,d_a
17.9439,18.2243,58,ch_a_n
18.2243,18.5047,58,n_y_a_ng
18.5047,18.7850,58,h_a
18.7850,19.0654,60,y_eo
19.0654,19.6261,61,r_a
19.9065,20.1869,58,d_a
20.1869,20.4673,56,ch_a
20.4673,21.0280,68,a_n
21.0280,21.3084,65,n_y_a_ng
21.3084,21.7289,63,ch_a
21.7289,21.8691,61,a
21.8691,22.1495,60,a_n
22.1495,22.4299,61,n_y_a_ng
22.4299,22.9906,60,h_a
22.9906,23.5514,58,y_eo
23.5514,24.2523,56,r_a
24.6729,25.2336,68,g_u
25.2336,25.6542,67,s_e
25.6542,25.7944,65,j_u
25.7944,26.4252,63,t_a_n
26.6355,26.9159,61,ss_ae_ng
26.9159,27.4766,60,h_ae
27.4766,28.0373,58,ss_eu
28.0373,28.4579,56,n_i
28.8785,29.1588,63,d_a
29.1588,30.0000,65,ch_a_n
30.0000,30.2803,65,n_y_a_ng
30.2803,31.1215,67,h_a
31.1215,31.4018,67,y_eo
31.4018,32.9439,68,r_a
33.3644,33.6448,68,i
33.6448,33.9252,68,s_e
33.9252,34.2056,67,e
34.2056,34.4859,65,s_a
34.4859,34.7663,63,a_ng
34.7663,35.1869,63,e
35.1869,35.3271,61,e
35.3271,35.6074,60,e
35.6074,35.8878,68,m_a_n
35.8878,36.1682,68,m_u
36.1682,36.4486,67,u_l
36.4486,36.7289,65,d_eu
36.7289,37.0093,63,eu
37.0093,37.4299,63,r_a
37.4299,37.5700,61,a
37.5700,37.8504,60,a
37.8504,38.1308,60,d_a
38.1308,38.4112,60,h_w_a
38.4112,38.6915,60,d_a
38.6915,38.9719,60,p_a
38.9719,39.2523,61,y_eo
39.2523,39.8130,63,r_a
40.0934,40.3738,60,d_a
40.3738,40.6542,58,h_w_a
40.6542,40.9345,58,d_a
40.9345,41.2149,58,p_a
41.2149,41.4953,60,y_eo
41.4953,42.0560,61,r_a
42.3364,42.6168,58,d_a
42.6168,42.8971,56,h_w_a
42.8971,43.4579,68,a
43.4579,43.7383,65,d_a_p
43.7383,44.1588,63,h_w_a
44.1588,44.2990,61,a
44.2990,44.5794,60,a
44.5794,44.8598,61,d_a
44.8598,45.4205,60,p_a
45.4205,45.9813,58,y_eo
45.9813,46.5420,56,r_a
47.1027,47.6635,68,o_n
47.6635,48.0841,67,s_e
48.0841,48.2242,65,s_a_ng
48.2242,49.0654,63,j_oe
49.0654,49.3457,61,r_eu_l
49.3457,49.9065,60,s_a
49.9065,50.4672,58,h_a
50.4672,50.8878,56,r_eo
51.3084,51.5887,63,j_u
51.5887,52.4298,65,y_e
52.4298,52.7102,65,s_u
52.7102,53.4112,67,o
53.5513,53.8317,67,s_y_eo_n
53.8317,55.3738,68,n_e
55.7943,56.0747,68,j_oe
56.0747,56.3551,68,w_a
56.3551,56.6354,67,a
56.6354,56.9158,65,s_eu
56.9158,57.1962,63,eu_l
57.1962,57.6168,63,p_eu
57.6168,57.7569,61,eu
57.7569,58.0373,60,eu_m
58.0373,58.3177,68,m_o
58.3177,58.5981,68,r_a
58.5981,58.8784,67,a
58.8784,59.1588,65,n_ae
59.1588,59.4392,63,ae
59.4392,59.8597,63,g_o
59.8597,59.9999,61,o
59.9999,60.2803,60,o
60.2803,60.5607,60,d_a
60.5607,60.8410,60,g_u
60.8410,61.1214,60,w_eo_n
61.1214,61.4018,60,h_a
61.4018,61.6822,61,s_i
61.6822,62.1728,63,n_e
62.5233,62.8037,60,d_a
62.8037,63.0840,58,g_u
63.0840,63.3644,58,w_eo_n
63.3644,63.6448,58,h_a
63.6448,63.9252,60,s_i
63.9252,64.4158,61,n_e
64.7663,65.0467,58,d_a
65.0467,65.3270,56,g_u
65.3270,65.8878,68,u
65.8878,66.1681,65,w_eo_n
66.1681,66.5887,63,g_u
66.5887,66.7289,61,u
66.7289,67.0093,60,u
67.0093,67.2896,61,w_eo_n
67.2896,67.8504,60,h_a
67.8504,68.4111,58,s_i
68.4111,69.4625,56,n_e
