track_id,mood_cluster,mood_category,dataset,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
1,Cluster 1,Boisterous,MIREX_mood,0.10208904,0.07399202,-0.15051062,-0.11134091,-0.1523563,0.089267194,-0.15332033,-0.15671499,-0.102961175,0.13759956,0.11556022,-0.18046086,0.14406693,0.19511925,-0.06601337,0.08704232,0.08081272,0.12962504,-0.0023723727,-0.10688255,-0.12719041,0.10608632,0.1456547,0.022827035,0.10496173,0.057773467,-0.15889184,0.15966104,-0.02994389,-0.0996854,-0.1302087,0.1263454,0.15892597,-0.14792301,0.1474391,0.090913154,-0.08711917,-0.08893671,0.15672936,-0.07592687,0.14840403,-0.13700913,0.18055955,0.05183989,-0.07689929,-0.13133346,-0.16743608,-0.11564438,0.122750655,-0.014508174,0.14300813,0.15090162,-0.1119498,0.17400953,0.07116425,0.18340035,0.066808,-0.062271032,0.08364636,0.011652151,-0.11642703,-0.2045307,-0.16114272,0.17420378
2,Cluster 1,Boisterous,MIREX_mood,0.040512297,-0.011477896,-0.25898352,-0.0064318134,-0.16914475,-0.044371083,-0.17994699,-0.024466036,-0.15968381,-0.002612637,0.057829864,-0.24615222,0.10200362,0.11039153,-0.1800436,0.22238849,-0.06969273,0.14919606,-0.087818794,-0.033621617,-0.007623861,-0.0384167,-0.004621633,-0.091288365,0.049989834,0.14472197,-0.08236902,0.24782887,-0.12646984,0.018645182,-0.07524658,0.21469556,0.26344058,-0.12096001,0.25188717,0.039113592,0.024745548,-0.1591182,0.0022131654,-0.13621011,-0.015050186,0.04260023,0.11263292,0.15609325,-0.090819664,0.010058457,-0.21044643,-0.20210402,0.076218985,0.067584984,0.029198406,0.1509958,-0.06537885,0.06839983,0.08123559,0.14324853,0.1874563,0.02476452,0.067927726,0.12593855,-0.05454675,-0.09646197,-0.020619284,0.05429579
3,Cluster 1,Boisterous,MIREX_mood,0.11477845,0.08166675,-0.15472788,-0.108600155,-0.15417404,0.09095379,-0.13870159,-0.14819749,-0.08380555,0.12930194,0.12270237,-0.17129427,0.15386313,0.18158485,-0.07965647,0.109900765,0.076503135,0.11800811,0.008524118,-0.1134279,-0.1356746,0.10762884,0.13016714,0.0373068,0.11253607,0.07083451,-0.16979994,0.15261522,-0.033279214,-0.103754066,-0.12578349,0.12842053,0.1599689,-0.15573122,0.14118713,0.091197975,-0.08965599,-0.088145874,0.1468644,-0.076532304,0.14835063,-0.1292532,0.20154521,0.06701049,-0.07848817,-0.123080105,-0.16348945,-0.10347073,0.13290608,-0.017359242,0.13428415,0.14449929,-0.11939774,0.1676425,0.08076566,0.17592148,0.06938801,-0.060855497,0.09800742,0.024165213,-0.12603022,-0.20793462,-0.15800573,0.17185588
4,Cluster 1,Boisterous,MIREX_mood,0.1152621,0.07511476,-0.15214434,-0.11761895,-0.14789467,0.09192824,-0.14890811,-0.14553854,-0.0889072,0.12597711,0.12189793,-0.17271128,0.15014076,0.17885372,-0.072342746,0.09703783,0.08363399,0.11046391,-0.0015175513,-0.112607546,-0.14350095,0.11818782,0.13977021,0.032902144,0.11747396,0.06844478,-0.16265106,0.1590018,-0.031073416,-0.095563725,-0.122546844,0.12522732,0.15243876,-0.15154958,0.14472926,0.10325093,-0.09047291,-0.08670171,0.1436869,-0.06979334,0.15297587,-0.13568762,0.19456612,0.060482994,-0.08137579,-0.12130464,-0.16294375,-0.10714002,0.13082594,-0.012394975,0.14169371,0.14673795,-0.12484078,0.17976521,0.08204271,0.1800423,0.064060524,-0.060781542,0.098947175,0.008542041,-0.12404241,-0.20099835,-0.16454662,0.16283458
5,Cluster 1,Boisterous,MIREX_mood,0.11646191,0.08062065,-0.16525945,-0.11058986,-0.14744163,0.08631375,-0.13920023,-0.14914274,-0.092168145,0.12357915,0.121970564,-0.17615557,0.15105046,0.18281391,-0.07782167,0.10344135,0.076518044,0.11801094,-0.005128365,-0.113115065,-0.13330433,0.10506044,0.12910369,0.029502604,0.11673264,0.07485616,-0.16232236,0.16373484,-0.036487885,-0.096467875,-0.13382953,0.13350593,0.14918673,-0.15110612,0.15027095,0.10186589,-0.084196016,-0.09957475,0.1404141,-0.0695341,0.1383624,-0.13071947,0.19196121,0.07075936,-0.083014,-0.13181658,-0.15826893,-0.10699121,0.12557188,-0.010401689,0.1395361,0.1530831,-0.119219,0.17874385,0.08510932,0.17295803,0.07474374,-0.05609633,0.094491705,0.022352554,-0.1301107,-0.20290312,-0.15661158,0.16693711
6,Cluster 1,Boisterous,MIREX_mood,0.10487556,0.06927735,-0.16205837,-0.10514122,-0.15267046,0.08785845,-0.1605439,-0.15603714,-0.09636002,0.13365029,0.1156806,-0.18497832,0.13363646,0.1903517,-0.06351673,0.0930866,0.07840821,0.13243988,-0.011762194,-0.09938177,-0.1287005,0.097755946,0.14641838,0.033856113,0.106195025,0.05474477,-0.1567905,0.15463442,-0.021694902,-0.09308681,-0.11345501,0.12608087,0.16346098,-0.13418709,0.13093828,0.087766014,-0.071361415,-0.08878346,0.15973462,-0.06105547,0.15437028,-0.13999614,0.19825208,0.048725303,-0.080733076,-0.12622572,-0.16615064,-0.124448344,0.111992225,0.003654292,0.14551657,0.16252385,-0.11768306,0.1776282,0.06370615,0.18500356,0.059413176,-0.05062091,0.0860859,0.0031560557,-0.12083336,-0.2164507,-0.168609,0.17733535
7,Cluster 1,Boisterous,MIREX_mood,0.1111175,0.08300541,-0.1456034,-0.11500101,-0.15119623,0.09509679,-0.14701968,-0.15737957,-0.08979654,0.13610157,0.124871925,-0.16944861,0.15310323,0.18724921,-0.07268925,0.0953567,0.08783541,0.11765602,0.004079159,-0.11080972,-0.13374755,0.11013609,0.14055409,0.035527114,0.11409095,0.06143871,-0.16728336,0.15087394,-0.031904284,-0.10245249,-0.12811087,0.12516966,0.15106483,-0.15363276,0.13753052,0.094537675,-0.08938614,-0.082822956,0.1499742,-0.067811556,0.14857918,-0.13606381,0.19071874,0.053545073,-0.07837687,-0.12389211,-0.16002963,-0.104849264,0.12568106,-0.018147936,0.14697666,0.14488608,-0.11318445,0.17903724,0.080677,0.17866899,0.06347642,-0.06463193,0.09705793,0.011089053,-0.12622671,-0.20285095,-0.16424769,0.17404416
8,Cluster 1,Boisterous,MIREX_mood,0.11941322,0.08893478,-0.16838047,-0.11306767,-0.14870022,0.08481705,-0.13641524,-0.141172,-0.08243149,0.10616602,0.1265542,-0.18343571,0.15138516,0.17615385,-0.09010693,0.11777829,0.07535684,0.115930885,0.004989167,-0.11412703,-0.14418046,0.11552436,0.12070421,0.043667633,0.11451115,0.087816656,-0.17108274,0.15675347,-0.04666598,-0.08257957,-0.13460039,0.14679073,0.15937173,-0.15347427,0.16498159,0.09639358,-0.07505457,-0.11494597,0.124188796,-0.08571289,0.12941037,-0.113303706,0.19608584,0.07746317,-0.08363042,-0.12174908,-0.15314451,-0.11533021,0.1364955,-0.0004439157,0.105702884,0.14183144,-0.11879016,0.17334886,0.08835437,0.16722396,0.081409425,-0.064033374,0.10369979,0.034983728,-0.1346435,-0.19193815,-0.15361243,0.16812538
9,Cluster 1,Boisterous,MIREX_mood,0.16702959,0.14956132,-0.08479273,-0.13292146,-0.06961748,0.13295695,-0.027197927,-0.14550062,-0.010338987,0.07313212,0.16233979,-0.06884264,0.20374243,0.14760286,-0.10075828,0.111236855,0.11539858,0.06438781,0.06067024,-0.18105312,-0.13176839,0.12895003,0.074657924,0.091134354,0.21237217,0.089106485,-0.19839317,0.10404626,-0.07495118,-0.092889994,-0.1918479,0.10869492,0.10790144,-0.22125687,0.112947166,0.16016702,-0.14161304,-0.102105275,0.07526677,-0.10177687,0.08873709,-0.079250515,0.13998136,0.09307124,-0.06786672,-0.17406225,-0.058946054,-0.07120376,0.19457233,-0.07341108,0.08331877,0.04674972,-0.14888908,0.13707584,0.14007561,0.10655113,0.09773407,-0.115539685,0.16035493,0.041182887,-0.1848427,-0.15126665,-0.10895141,0.123578906
10,Cluster 1,Boisterous,MIREX_mood,0.11524774,0.07145743,-0.15279712,-0.10956679,-0.15811254,0.097026795,-0.13547066,-0.14574537,-0.08334956,0.11768399,0.1220844,-0.17455697,0.15644608,0.1695453,-0.093444765,0.12745702,0.07644582,0.117982306,0.005429936,-0.11192808,-0.13452576,0.11702737,0.12038115,0.048048873,0.11412012,0.079834245,-0.17136335,0.16466731,-0.051527288,-0.09445631,-0.14158168,0.13784574,0.15241857,-0.16027747,0.15182985,0.09906023,-0.09495375,-0.102076,0.12119107,-0.073675066,0.12077642,-0.108741984,0.19555624,0.06732553,-0.09307649,-0.13053198,-0.16299364,-0.10363418,0.13885595,-0.026863584,0.12296007,0.14448398,-0.11925194,0.16430037,0.09039497,0.18166205,0.081390105,-0.07693928,0.10626502,0.03201341,-0.14329892,-0.19862409,-0.14249484,0.15296228
