track_id,mood_cluster,mood_category,dataset,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
1,Cluster 1,Boisterous,MIREX_mood,0.1340616,-0.13596787,-0.091818444,0.22093292,-0.018951936,0.19404487,0.13053587,-0.21194582,-0.16880326,0.11794111,-0.11554896,-0.26491532,-0.27867204,-0.24290864,0.17259951,-0.005413415,0.18831572,-0.20559408,0.190745,-0.14959271,0.18815808,-0.216282,-0.108323246,0.26797464,-0.15317817,-0.1366649,-0.034971822,0.2354407,-0.11868316,0.19118235,0.2379504,-0.07506096
2,Cluster 1,Boisterous,MIREX_mood,0.11940891,-0.12478871,-0.23074703,0.20259756,-0.07859029,0.17397945,0.23984355,-0.08681527,-0.24415904,0.25957844,-0.25001788,-0.11473676,-0.16902326,-0.2784788,0.11458359,-0.012596296,0.16463988,-0.18251964,0.113060705,-0.2501596,0.22126581,-0.13979658,-0.1267193,0.096283644,-0.13547541,-0.19901203,0.06778487,0.103462495,-0.30655318,0.0683107,0.1139791,-0.19440536
3,Cluster 1,Boisterous,MIREX_mood,0.12778074,-0.12633485,-0.08613426,0.19224028,-0.0054121823,0.20094153,0.11596537,-0.22839034,-0.1455087,0.13001716,-0.106271505,-0.25728884,-0.27950427,-0.23060286,0.18509525,0.006866058,0.20813026,-0.1949213,0.1948223,-0.15246157,0.16818847,-0.21349616,-0.10168442,0.28591827,-0.16462049,-0.124092005,-0.01349812,0.24729548,-0.10678984,0.21287104,0.25012368,-0.06750839
4,Cluster 1,Boisterous,MIREX_mood,0.13477087,-0.12707579,-0.08230034,0.1988325,-0.010487115,0.18994503,0.12188117,-0.22120972,-0.1530695,0.11928795,-0.10128138,-0.26519546,-0.28987756,-0.21366821,0.175811,0.025848972,0.19775583,-0.20615527,0.20180848,-0.13938317,0.1778845,-0.20271583,-0.10984112,0.29513735,-0.1664769,-0.14341775,-0.0224679,0.2501651,-0.09810839,0.2128626,0.23417144,-0.07129992
5,Cluster 1,Boisterous,MIREX_mood,0.11532902,-0.11302343,-0.096080214,0.21033564,0.011264804,0.22052358,0.12496424,-0.21872744,-0.1431815,0.12537725,-0.11982731,-0.25528133,-0.28529313,-0.23805526,0.19443287,0.016746975,0.2043641,-0.18934973,0.18511942,-0.13959055,0.16263175,-0.20926459,-0.09006279,0.29007757,-0.1591465,-0.11969486,0.00075590564,0.25030154,-0.112450786,0.2087356,0.24668354,-0.05566304
6,Cluster 1,Boisterous,MIREX_mood,0.10363651,-0.095762365,-0.06201125,0.19692835,0.016619384,0.23699595,0.10378467,-0.21922183,-0.10886996,0.11082366,-0.08948193,-0.267055,-0.28144324,-0.23852547,0.20744081,0.029029965,0.23232432,-0.1860569,0.19771805,-0.10743652,0.12525277,-0.22730587,-0.0737668,0.32260978,-0.14098641,-0.110881165,-0.014487726,0.24670164,-0.07474657,0.22776942,0.26817483,-0.0047455872
7,Cluster 1,Boisterous,MIREX_mood,0.114223205,-0.12452631,-0.07684756,0.20185702,0.012827127,0.1978904,0.11418824,-0.22762254,-0.1416716,0.11610186,-0.09511532,-0.27197236,-0.28783923,-0.22830339,0.19134635,0.020113342,0.20921774,-0.1921438,0.19042844,-0.13148464,0.16234216,-0.22384144,-0.09489179,0.29011995,-0.15389712,-0.12235784,-0.023479303,0.25545165,-0.08582716,0.21747923,0.25773272,-0.051296823
8,Cluster 1,Boisterous,MIREX_mood,0.12378313,-0.12606835,-0.08821521,0.20689225,-0.017148122,0.19976541,0.12476241,-0.20222096,-0.15871906,0.14555092,-0.11774709,-0.25357705,-0.27489442,-0.24430425,0.17440908,0.017435204,0.20883407,-0.20570517,0.20367157,-0.16487172,0.18360744,-0.20061259,-0.118630975,0.2721865,-0.14826141,-0.16051178,-0.03256059,0.23371547,-0.12307532,0.19384778,0.230695,-0.07030007
9,Cluster 1,Boisterous,MIREX_mood,0.16604151,-0.20331208,-0.12412204,0.2516512,-0.04489922,0.09317828,0.13006808,-0.16428895,-0.20706475,0.14744294,-0.13244139,-0.23281576,-0.25549835,-0.17210735,0.09571798,-0.035251863,0.122711234,-0.2575294,0.18059713,-0.15479055,0.26911464,-0.15471919,-0.15644115,0.26344502,-0.16377397,-0.21292642,-0.112209395,0.18367985,-0.1621388,0.18054032,0.14992772,-0.16746765
10,Cluster 1,Boisterous,MIREX_mood,0.14771791,-0.13410014,-0.09413737,0.23298104,-0.021690957,0.17782544,0.12595764,-0.21168657,-0.15717533,0.12324876,-0.113408186,-0.25584844,-0.2774685,-0.22977951,0.15654016,0.002326336,0.1895439,-0.2098317,0.19097449,-0.15979366,0.18733196,-0.18937077,-0.11286,0.26943192,-0.17387548,-0.15427953,-0.02638451,0.23399773,-0.1353816,0.21588416,0.21508853,-0.11332981
11,Cluster 1,Boisterous,MIREX_mood,0.11178685,-0.09881954,-0.0758456,0.20812201,-0.011522296,0.23048444,0.11659772,-0.21735369,-0.13978602,0.122227326,-0.11198196,-0.2584465,-0.26925415,-0.24211839,0.21022479,0.014015959,0.23385379,-0.19190644,0.2000643,-0.13527034,0.14806947,-0.21283004,-0.091457255,0.30616358,-0.14156705,-0.11853797,0.007890009,0.24591808,-0.087664895,0.19746134,0.25334495,-0.024534745
12,Cluster 1,Boisterous,MIREX_mood,0.13257499,-0.11856495,-0.086686894,0.17842753,-0.010578782,0.20982921,0.12174117,-0.22037628,-0.15116428,0.13055205,-0.1217997,-0.24524088,-0.27194908,-0.22841021,0.17766996,0.0062364936,0.20611152,-0.1809358,0.21612947,-0.15448688,0.16296884,-0.21109314,-0.10720618,0.2765104,-0.16880763,-0.1360429,-0.010003947,0.2604761,-0.13177912,0.21318866,0.25240946,-0.050371077
13,Cluster 1,Boisterous,MIREX_mood,0.116738796,-0.11916429,-0.065488875,0.20505106,0.0121558355,0.20506993,0.10916602,-0.22157113,-0.14225505,0.11409868,-0.091163635,-0.27457887,-0.28377363,-0.22971794,0.18693626,0.018063055,0.2072087,-0.19574091,0.19464217,-0.12522635,0.15811715,-0.21397005,-0.0996468,0.29375336,-0.1559725,-0.13521324,-0.025801366,0.2626844,-0.096429475,0.21378763,0.25629666,-0.04799716
14,Cluster 1,Boisterous,MIREX_mood,0.19619226,-0.21821003,-0.13527836,0.23265797,-0.156412,-0.19736217,0.14712566,0.05300619,-0.25098923,0.15607692,-0.11077019,-0.0028276944,0.033277437,0.063372,-0.20729639,-0.14002404,-0.19317758,-0.23431762,0.021153143,-0.14865476,0.30082536,0.12966675,-0.22947413,-0.10178263,-0.160537,-0.2358743,-0.1907493,-0.10791228,-0.14207357,-0.11252693,-0.14196207,-0.34455794
15,Cluster 1,Boisterous,MIREX_mood,0.21797092,-0.24247304,-0.17542464,0.27464497,-0.10832246,-0.088446654,0.17335914,-0.042501584,-0.2688326,0.17566667,-0.14156538,-0.13495941,-0.10204344,-0.054471217,-0.08034839,-0.10657458,-0.05327294,-0.28253314,0.11654788,-0.19912098,0.33652827,0.01965482,-0.22569439,0.06811507,-0.20430176,-0.25424325,-0.18260011,0.0063461023,-0.17694849,0.023772215,-0.007147887,-0.2944438
16,Cluster 1,Boisterous,MIREX_mood,0.12268644,-0.12068372,-0.08884533,0.19293816,0.0026273034,0.20713316,0.1210988,-0.21994105,-0.13551378,0.12688309,-0.11083369,-0.26370728,-0.2855054,-0.2314731,0.18908937,0.014454681,0.20512098,-0.17887968,0.19960664,-0.1276125,0.16185799,-0.23300096,-0.09790074,0.28904453,-0.17206703,-0.12536006,-0.008796761,0.24700975,-0.10509975,0.2101307,0.25097743,-0.05954799
17,Cluster 1,Boisterous,MIREX_mood,0.13675456,-0.13159065,-0.10762636,0.21762466,-0.007144415,0.18713678,0.113295175,-0.21044981,-0.16065927,0.12976673,-0.1132996,-0.25984308,-0.27522755,-0.22488682,0.17193818,0.003335844,0.19520088,-0.21983485,0.19534703,-0.15913215,0.19279785,-0.19467516,-0.10621735,0.28060874,-0.15739873,-0.14303733,-0.042429578,0.23442684,-0.11243562,0.21827638,0.2321462,-0.052558202
18,Cluster 1,Boisterous,MIREX_mood,0.14720938,-0.14210507,-0.13097973,0.1859218,-0.061114877,0.20020337,0.14850971,-0.20832902,-0.18088049,0.17859976,-0.14474998,-0.22344993,-0.23377223,-0.24105924,0.14970565,-0.011438416,0.17096412,-0.19713485,0.199003,-0.18423152,0.20735773,-0.19695164,-0.1306949,0.2346911,-0.18445946,-0.1722422,-0.013443697,0.2274108,-0.1604269,0.17000505,0.2281501,-0.092076674
