feature,importance
acoustic_features.spectral_contrast_2_mean,0.020677237929828
harmony_features.harmonic_ratio,0.0154892400646784
harmony_features.percussive_ratio,0.0154469498257827
acoustic_features.spectral_contrast_1_mean,0.0154283041084529
acoustic_features.spectral_contrast_3_mean,0.0121765310886745
acoustic_features.spectral_contrast_4_std,0.0116004501494559
acoustic_features.zcr_mean,0.0111952987449674
lyrics_features.sentiment_compound,0.0111895456120631
acoustic_features.spectral_centroid_mean,0.0110382500744773
lyrics_features.sentiment_negative,0.0106733350036659
acoustic_features.spectral_flatness_mean,0.0104712083135455
acoustic_features.spectral_centroid_median,0.0104145978077755
lyrics_features.avg_word_length,0.0099799087380074
acoustic_features.mfcc_8_std,0.0097093175287328
lyrics_features.vocabulary_richness,0.0095500436153548
acoustic_features.spectral_contrast_4_mean,0.0094626894262387
acoustic_features.spectral_centroid_std,0.009124081713457
lyrics_features.char_count,0.0088153657261195
acoustic_features.spectral_contrast_2_std,0.0087253060472546
harmony_features.key_confidence,0.0086603971670427
