track_id,is_high_quality,normalized_audio_path,provenance_original_audio_path,provenance_original_lyrics_path,provenance_processing_date,provenance_script_version,audio_properties_original_sr,audio_properties_target_sr,audio_properties_channels,audio_features_duration_seconds,audio_features_integrated_loudness_lufs,audio_features_snr_percentile_db,audio_features_clipping_percentage,audio_features_rms_energy_mean,audio_features_rms_energy_std,audio_features_zcr_mean,audio_features_zcr_std,audio_features_spectral_centroid_mean,audio_features_spectral_bandwidth_mean,audio_features_mfcc_0_mean,audio_features_mfcc_0_std,audio_features_mfcc_1_mean,audio_features_mfcc_1_std,audio_features_mfcc_2_mean,audio_features_mfcc_2_std,audio_features_mfcc_3_mean,audio_features_mfcc_3_std,audio_features_mfcc_4_mean,audio_features_mfcc_4_std,audio_features_mfcc_5_mean,audio_features_mfcc_5_std,audio_features_mfcc_6_mean,audio_features_mfcc_6_std,audio_features_mfcc_7_mean,audio_features_mfcc_7_std,audio_features_mfcc_8_mean,audio_features_mfcc_8_std,audio_features_mfcc_9_mean,audio_features_mfcc_9_std,audio_features_mfcc_10_mean,audio_features_mfcc_10_std,audio_features_mfcc_11_mean,audio_features_mfcc_11_std,audio_features_mfcc_12_mean,audio_features_mfcc_12_std,audio_features_vocal_dominance_score_hpss,lyrics_features_cleaned_text,lyrics_features_language_code,lyrics_features_completeness_heuristic,lyrics_features_word_count,lyrics_features_char_count,lyrics_features_sentence_count,lyrics_features_type_token_ratio
en004b,False,processed_dataset/CSD/english/audio_rejected/en004b.wav,../../data/raw/CSD/english/wav/en004b.wav,../../data/raw/CSD/english/lyric/en004b.txt,2025-10-24T22:19:05.492341+00:00,1.0.0,44100,44100,2,4.5351473922902495e-05,-inf,0.7321591377258301,0.0,3.283867844317001e-09,0.0,0.0,0.0,8047.169048557646,5322.514967184618,-1131.370849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,There was a farmer had a dog and Bingo was his name oh B I N G O B I N G O B I N G O and Bingo was his name oh There was a farmer had a dog and Bingo was his name oh B I N G O B I N G O B I N G O and Bingo was his name oh There was a farmer had a dog and Bingo was his name oh B I N G O B I N G O B I N G O and Bingo was his name oh There was a farmer had a dog and Bingo was his name oh B I N G O B I N G O B I N G O and Bingo was his name oh,en,1.0,136,443,1,0.11764705882352941
en016b,False,processed_dataset/CSD/english/audio_rejected/en016b.wav,../../data/raw/CSD/english/wav/en016b.wav,../../data/raw/CSD/english/lyric/en016b.txt,2025-10-24T22:19:05.496459+00:00,1.0.0,44100,44100,2,4.5351473922902495e-05,-inf,1.8935924768447876,0.0,2.4834487799552107e-09,0.0,0.0,0.0,8198.604167699923,5446.870772233349,-1131.370849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999701976776,My grandfather's clock was too large for the shelf So it stood ninety years on the floor It was taller by half than the old man himself Though it weighed not a pennyweight more It was bought on the morn of the day that he was born And was always his treasure and pride But it stopped short never to go again When the old man died Ninety years without slumbering tic toc tic toc His life seconds numbering tic toc tic toc It stopped short never to go again When the old man died,en,1.0,95,477,1,0.6421052631578947
en024b,False,processed_dataset/CSD/english/audio_rejected/en024b.wav,../../data/raw/CSD/english/wav/en024b.wav,../../data/raw/CSD/english/lyric/en024b.txt,2025-10-24T22:19:05.550964+00:00,1.0.0,44100,44100,2,4.5351473922902495e-05,-inf,0.00922888983041048,0.0,2.854599472357222e-07,0.0,0.0,0.0,8006.410706498057,5284.784958972288,-1131.370849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000003576278687,Little bo peep has lost her sheep and doesn't know where to find them leave them alone and they'll come home bringing their tails behind them Little bo peep fell fast asleep and dreamt she heard them bleating but when she awoke she found it a joke for they were all still fleeting Then up she took her little crook determine for to find them she found them indeed but it made her heart bleed for they left their tails behind them,en,1.0,82,429,1,0.6585365853658537
en018b,False,processed_dataset/CSD/english/audio_rejected/en018b.wav,../../data/raw/CSD/english/wav/en018b.wav,../../data/raw/CSD/english/lyric/en018b.txt,2025-10-24T22:19:05.575317+00:00,1.0.0,44100,44100,2,4.5351473922902495e-05,-inf,0.007843093015253544,0.0,7.999063882380142e-07,0.0,0.0,0.0,8006.405776143436,5284.779725489937,-1125.906005859375,0.0,3.8913345336914062,0.0,-0.955877423286438,0.0,-0.5860356092453003,0.0,0.5693744421005249,0.0,-0.160964235663414,0.0,-0.21143008768558502,0.0,0.19077172875404358,0.0,-0.10107884556055069,0.0,-0.11255441606044769,0.0,0.07689938694238663,0.0,-0.084462471306324,0.0,-0.06769540905952454,0.0,0.5000003576278687,You put your right hand in You put your right hand out You put your right hand in And you shake it all about You do the hokey pokey and you turn yourself around That's what it's all about You put your left hand in You put your left hand out You put your left hand in And you shake it all about You do the hokey pokey and you turn yourself around That's what it's all about You put your right foot in You put your right foot out You put your right foot in And you shake it all about You do the hokey pokey and you turn yourself around That's what it's all about You put your left foot in You put your left foot out You put your left foot in And you shake it all about You do the hokey pokey and you turn yourself around That's what it's all about,en,1.0,156,745,1,0.16666666666666666
en036b,False,processed_dataset/CSD/english/audio_rejected/en036b.wav,../../data/raw/CSD/english/wav/en036b.wav,../../data/raw/CSD/english/lyric/en036b.txt,2025-10-24T22:19:05.595470+00:00,1.0.0,44100,44100,2,4.5351473922902495e-05,-inf,0.004137195181101561,0.0,6.507229386443214e-07,0.0,0.0,0.0,8006.395219291834,5284.7684301759,-1131.370849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000003576278687,Up and down the city road in and out the eagle that's the way the money goes pop goes the weasel A penny for a spool of thread a nickel for a needle that's the way the money goes pop goes the weasel All around the mulberry bush the monkey chased the weasel the monkey stopped to scratch his nose pop goes the weasel A penny for a spool of thread a nickel for a needle that's the way the money goes pop goes the weasel,en,1.0,86,417,1,0.4069767441860465
en015a,False,processed_dataset/CSD/english/audio_rejected/en015a.wav,../../data/raw/CSD/english/wav/en015a.wav,../../data/raw/CSD/english/lyric/en015a.txt,2025-10-24T22:19:05.598754+00:00,1.0.0,44100,44100,2,4.5351473922902495e-05,-inf,0.0342027023434639,0.0,6.959650136195705e-07,0.0,0.0,0.0,8006.582809381745,5284.963084158037,-1131.3514404296875,0.0,0.024212326854467392,0.0,0.015959639102220535,0.0,0.00498412549495697,0.0,-0.005526877474039793,0.0,-0.012692475691437721,0.0,-0.014891188591718674,0.0,-0.012200026772916317,0.0,-0.006313275080174208,0.0,0.0001259139971807599,0.0,0.0045181503519415855,0.0,0.005186969414353371,0.0,0.001989658921957016,0.0,0.5000003576278687,Five little monkeys jumping on the bed One fell off and bumped his head Mama called the doctor and the doctor said No more monkeys jumping on the bed Four little monkeys jumping on the bed One fell off and bumped his head Mama called the doctor and the doctor said No more monkeys jumping on the bed Three little monkeys jumping on the bed One fell off and bumped his head Mama called the doctor and the doctor said No more monkeys jumping on the bed Two little monkeys jumping on the bed One fell off and bumped his head Mama called the doctor and the doctor said No more monkeys jumping on the bed,en,1.0,116,599,1,0.19827586206896552
en040b,False,processed_dataset/CSD/english/audio_rejected/en040b.wav,../../data/raw/CSD/english/wav/en040b.wav,../../data/raw/CSD/english/lyric/en040b.txt,2025-10-24T22:19:05.620347+00:00,1.0.0,44100,44100,2,4.5351473922902495e-05,-inf,0.04241961985826492,0.0,8.969938107838971e-07,0.0,0.0,0.0,8006.670965622091,5285.0530854288645,-1117.5577392578125,0.0,7.555811405181885,0.0,-3.453671455383301,0.0,0.479650616645813,0.0,0.6941399574279785,0.0,-0.9008201360702515,0.0,0.5301448702812195,0.0,-0.1614757776260376,0.0,-0.20154932141304016,0.0,0.248399555683136,0.0,-0.27280062437057495,0.0,0.06944981217384338,0.0,-0.0016226619482040405,0.0,0.5000003576278687,"Fly in the buttermilk shoo fly shoo Fly in the buttermilk shoo fly shoo Fly in the buttermilk shoo fly shoo Skip to my Lou my darlin Lou lou skip to my lou Lou lou skip to my lou Lou lou skip to my lou Skip to my lou my darlin Cat’s in the cream jar ooh ooh ooh Cat’s in the cream jar ooh ooh ooh Cat’s in the cream jar ooh ooh ooh Skip to my Lou, my darlin Lou lou skip to my lou Lou lou skip to my lou Lou lou skip to my lou Skip to my lou my darlin Cows in the cornfield what'll I do Cows in the cornfield what'll I do Cows in the cornfield what'll I do Skip to my lou my darlin Lou lou skip to my lou Lou lou skip to my lou Lou lou skip to my lou Skip to my lou my darlin",en,1.0,156,675,1,0.14743589743589744
en041a,False,processed_dataset/CSD/english/audio_rejected/en041a.wav,../../data/raw/CSD/english/wav/en041a.wav,../../data/raw/CSD/english/lyric/en041a.txt,2025-10-24T22:19:05.676485+00:00,1.0.0,44100,44100,2,4.5351473922902495e-05,-inf,0.5644419193267822,0.0,2.955481193112064e-09,0.0,0.0,0.0,8032.618355894751,5309.451123536725,-1131.370849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,The itsy bitsy spider Climbed up the waterspout The itsy bitsy spider Climbed up the waterspout Down came the rain And washed the spider out Out came the sun And dried up all the rain The itsy bitsy spider Climbed up the spout again The itsy bitsy spider Climbed up the spout again,en,1.0,53,281,1,0.37735849056603776
en001b,False,processed_dataset/CSD/english/audio_rejected/en001b.wav,../../data/raw/CSD/english/wav/en001b.wav,../../data/raw/CSD/english/lyric/en001b.txt,2025-10-24T22:19:05.716031+00:00,1.0.0,44100,44100,2,4.5351473922902495e-05,-inf,0.0007661571144126356,0.0,7.637029852958221e-07,0.0,0.0,0.0,8006.388697621547,5284.761270536079,-1128.894287109375,0.0,2.0896008014678955,0.0,-0.11102474480867386,0.0,-0.5226267576217651,0.0,0.11476342380046844,0.0,0.1389586627483368,0.0,-0.15305599570274353,0.0,-0.057065390050411224,0.0,0.056202180683612823,0.0,-0.06198987364768982,0.0,-0.07903169840574265,0.0,0.00621071457862854,0.0,-0.026944220066070557,0.0,0.5000002980232239,A B C D E F G H I J K L M N O P Q R S T U V W X Y and Z Now I know my A B C Next time won't you sing with me A B C D E F G H I J K L M N O P Q R S T U V W X Y and Z Now I know my A B C won't you sing along with me,en,1.0,81,213,1,0.4691358024691358
en009a,False,processed_dataset/CSD/english/audio_rejected/en009a.wav,../../data/raw/CSD/english/wav/en009a.wav,../../data/raw/CSD/english/lyric/en009a.txt,2025-10-24T22:19:05.728926+00:00,1.0.0,44100,44100,2,4.5351473922902495e-05,-inf,0.18919792771339417,0.0,2.858925318705019e-09,0.0,0.0,0.0,8010.320250214831,5288.650774989188,-1131.370849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000001788139343,Oh can you out do me do like this Oh can you out do me do like this Oh can you out do me do like this Oh it's a lovely game Oh can you out do me do like this Oh can you out do me do like this Oh can you out do me do like this Oh it's a lovely game Oh can you out do me do like this Oh can you out do me do like this Oh can you out do me do like this Oh it's a lovely game Oh can you out do me do like this Oh can you out do me do like this Oh can you out do me do like this Oh it's a lovely game,en,1.0,128,495,1,0.09375
